,count,mean,std,min,25%,50%,75%,max,skewness,excess_kurt,cv_%,iqr
Speed,63673.0,218.169,65.353,58.0,173.473,216.0,272.0,347.0,-0.21,-0.74,29.96,98.527
RPM,63673.0,10619.0,810.999,6252.0,10175.0,10741.0,11175.0,12708.0,-0.958,1.43,7.64,1000.0
nGear,63673.0,5.48,1.901,1.0,4.0,5.0,7.0,8.0,-0.405,-0.554,34.69,3.0
Throttle,63673.0,62.522,42.505,0.0,13.0,90.587,100.0,104.0,-0.469,-1.529,67.98,87.0
Acceleration,63673.0,0.01,4.85,-28.03,-0.81,0.0,1.4,28.036,-0.808,10.047,48454.08,2.21
Engine_Load,63673.0,6837.902,4734.728,0.0,1219.425,9837.96,11013.781,12531.0,-0.426,-1.564,69.24,9794.356
Elevation_Delta,63673.0,0.0,4.341,-82.0,-1.001,0.008,1.131,108.473,-0.074,94.993,57506394.44,2.132
Tire_Age_Laps,63673.0,16.125,8.176,2.0,10.0,15.0,22.0,34.0,0.308,-0.773,50.7,12.0
Kinetic_Energy_MJ,63673.0,1.597,0.863,0.104,0.926,1.436,2.278,3.707,0.308,-0.937,54.01,1.351
Longitudinal_Force_N,63673.0,2.219,1075.194,-6213.352,-179.551,0.0,310.333,6214.59,-0.808,10.047,48454.08,489.885
Energy_Efficiency_Ratio,63673.0,36.233,76.844,0.008,0.023,0.028,0.121,337.0,1.869,1.984,212.08,0.098
